technique,threshold,duplicates,unique,matchingPairs
gnn,0.05,960,1,201008
gnn,0.1,960,1,142564
gnn,0.15,960,1,97127
gnn,0.2,960,1,65778
gnn,0.25,960,1,45849
gnn,0.3,960,1,33068
gnn,0.35,960,1,24435
gnn,0.4,960,1,18272
gnn,0.45,960,1,13597
gnn,0.5,960,1,10107
gnn,0.55,957,4,7452
gnn,0.6,942,19,5394
gnn,0.65,896,65,3882
gnn,0.7,833,128,2701
gnn,0.75,702,259,1767
gnn,0.8,533,428,1154
gnn,0.85,367,594,699
gnn,0.9,236,725,394
gnn,0.95,135,826,198
gnn,1.0,37,924,45
