technique,threshold,duplicates,unique,matchingPairs
graph_similarity,0.05,4999,1,12284289
graph_similarity,0.1,4999,1,12208497
graph_similarity,0.15,4999,1,12129138
graph_similarity,0.2,4999,1,12080770
graph_similarity,0.25,4999,1,12027958
graph_similarity,0.3,4999,1,11912184
graph_similarity,0.35,4999,1,11453392
graph_similarity,0.4,4998,2,10407844
graph_similarity,0.45,4998,2,8686934
graph_similarity,0.5,4998,2,6458012
graph_similarity,0.55,4990,10,4097609
graph_similarity,0.6,4959,41,1654472
graph_similarity,0.65,4818,182,548943
graph_similarity,0.7,3686,1314,298094
graph_similarity,0.75,2387,2613,260372
graph_similarity,0.8,2046,2954,175922
graph_similarity,0.85,1954,3046,175385
graph_similarity,0.9,1841,3159,175170
graph_similarity,0.95,1785,3215,174266
graph_similarity,1.0,1739,3261,173956
